hardware,batch,mode_id,status,gpu_count,lpu_count,pools,output_tps,ttft_s,tpot_ms,draft_prefix,reason
Vera-Rubin NV72 · 总GPU均分,1,all_gpu,feasible,72,0,main=72GPU,553.8440234170411,0.11210404731994696,1.7786275839191918,0,
Vera-Rubin NV72 · 总GPU均分,1,pd_gpu,feasible,72,0,prefill=36GPU; decode=36GPU,501.5558065751864,0.12103072859971477,1.9943838417968698,0,
Vera-Rubin NV72 · 总GPU均分,1,pd_draft_gpu,feasible,72,0,prefill=24GPU; decode=24GPU; draft=24GPU,1950.2613161025918,0.10670278865328031,0.580842647126282,5,
Vera-Rubin NV72 · 总GPU均分,1,pd_draft_lpu,infeasible,72,256,prefill=36GPU; decode=36GPU; draft=256LPU,,,,,"draft (groq-lpx3): requires 0.814 GiB/device, available 0.500 GiB/device"
Vera-Rubin NV72 · 总GPU均分,1,pafd_split_draft_lpu,infeasible,72,768,PA=36GPU; PF=256LPU; DA=36GPU; DF=256LPU; draft=256LPU,,,,,"PF (groq-lpx3): requires 23.641 GiB/device, available 0.500 GiB/device; DF (groq-lpx3): requires 3.648 GiB/device, available 0.500 GiB/device; draft (groq-lpx3): requires 0.814 GiB/device, available 0.500 GiB/device"
Vera-Rubin NV72 · 总GPU均分,1,prefill_gpu_decode_lpu,infeasible,72,768,PA=36GPU; PF=36GPU; DA=256LPU; DF=256LPU; draft=256LPU,,,,,"DA (groq-lpx3): requires 2.705 GiB/device, available 0.500 GiB/device; DF (groq-lpx3): requires 3.648 GiB/device, available 0.500 GiB/device; draft (groq-lpx3): requires 0.814 GiB/device, available 0.500 GiB/device"
Vera-Rubin NV72 · 每GPU池,1,all_gpu,feasible,72,0,main=72GPU,553.8440234170411,0.11210404731994696,1.7786275839191918,0,
Vera-Rubin NV72 · 每GPU池,1,pd_gpu,feasible,144,0,prefill=72GPU; decode=72GPU,562.3685415021902,0.11210404731994696,1.7787707326420246,0,
Vera-Rubin NV72 · 每GPU池,1,pd_draft_gpu,feasible,216,0,prefill=72GPU; decode=72GPU; draft=72GPU,1950.2613161025918,0.11210404731994696,0.580842647126282,5,
Vera-Rubin NV72 · 每GPU池,1,pd_draft_lpu,infeasible,144,256,prefill=72GPU; decode=72GPU; draft=256LPU,,,,,"draft (groq-lpx3): requires 0.814 GiB/device, available 0.500 GiB/device"
